"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","30.10","30.29","30.42","30.07","5.09M","-0.56%"
"Aug 30, 2020","30.27","30.27","30.27","30.27","-","0.00%"
"Aug 28, 2020","30.27","30.23","30.28","30.07","2.91M","0.60%"
"Aug 27, 2020","30.09","30.49","30.49","29.93","4.16M","-1.38%"
"Aug 26, 2020","30.51","30.20","30.53","30.19","5.35M","1.03%"
"Aug 25, 2020","30.20","30.33","30.33","29.96","3.43M","0.40%"
"Aug 24, 2020","30.08","30.09","30.09","29.91","2.89M","2.07%"
"Aug 23, 2020","29.47","29.47","29.47","29.47","-","0.00%"
"Aug 22, 2020","29.47","29.47","29.47","29.47","-","0.00%"
"Aug 21, 2020","29.47","29.20","29.48","29.19","5.07M","-1.01%"
"Aug 20, 2020","29.77","29.48","29.82","29.47","7.54M","-0.33%"
"Aug 19, 2020","29.87","30.18","30.22","29.84","7.33M","-0.37%"
"Aug 18, 2020","29.98","30.24","30.26","29.89","5.22M","0.20%"
"Aug 17, 2020","29.92","29.91","29.95","29.88","2.16M","0.91%"
"Aug 14, 2020","29.65","29.63","29.75","29.57","3.10M","-0.57%"
"Aug 13, 2020","29.82","29.93","30.03","29.71","6.80M","-0.67%"
"Aug 12, 2020","30.02","29.85","30.09","29.80","8.85M","2.39%"
"Aug 11, 2020","29.32","29.77","29.79","29.25","8.56M","0.41%"
"Aug 10, 2020","29.20","29.19","29.22","29.03","6.04M","0.00%"
"Aug 09, 2020","29.20","29.20","29.20","29.20","-","0.00%"
"Aug 08, 2020","29.20","29.20","29.20","29.20","-","0.00%"
"Aug 07, 2020","29.20","29.00","29.21","28.99","5.38M","-0.31%"
"Aug 06, 2020","29.29","29.07","29.34","28.99","4.47M","0.58%"
"Aug 05, 2020","29.12","29.21","29.35","29.06","6.69M","0.41%"
"Aug 04, 2020","29.00","28.70","29.00","28.65","6.51M","0.07%"
"Aug 03, 2020","28.98","28.71","29.01","28.63","6.36M","2.58%"
"Aug 02, 2020","28.25","28.25","28.25","28.25","-","0.00%"
"Jul 31, 2020","28.25","28.80","28.82","28.03","7.91M","-1.98%"
"Jul 30, 2020","28.82","28.47","28.84","28.18","8.32M","-2.60%"
"Jul 29, 2020","29.59","29.38","29.65","29.35","6.67M","1.41%"
"Jul 28, 2020","29.18","29.25","29.37","29.16","4.25M","-1.08%"
"Jul 27, 2020","29.50","29.34","29.55","29.33","4.27M","1.55%"
"Jul 26, 2020","29.05","29.05","29.05","29.05","-","0.00%"
"Jul 25, 2020","29.05","29.05","29.05","29.05","-","0.00%"
"Jul 24, 2020","29.05","29.02","29.14","28.94","3.07M","-1.02%"
"Jul 23, 2020","29.35","29.55","29.66","29.27","6.25M","-1.05%"
"Jul 22, 2020","29.66","29.60","29.70","29.55","4.64M","0.95%"
"Jul 21, 2020","29.38","29.46","29.55","29.31","3.25M","0.69%"
"Jul 20, 2020","29.18","28.91","29.21","28.81","3.28M","1.18%"
"Jul 17, 2020","28.84","28.73","28.85","28.64","3.41M","0.84%"
"Jul 16, 2020","28.60","28.56","28.73","28.52","4.01M","-0.28%"
"Jul 15, 2020","28.68","28.72","28.86","28.52","5.73M","1.09%"
"Jul 14, 2020","28.37","27.94","28.44","27.92","10.03M","1.94%"
"Jul 13, 2020","27.83","28.29","28.45","27.77","6.36M","-0.82%"
"Jul 12, 2020","28.06","28.06","28.06","28.06","-","0.00%"
"Jul 11, 2020","28.06","28.06","28.06","28.06","-","0.00%"
"Jul 10, 2020","28.06","27.85","28.08","27.72","5.25M","1.04%"
"Jul 09, 2020","27.77","28.15","28.16","27.54","4.54M","-0.68%"
"Jul 08, 2020","27.96","27.69","27.96","27.60","5.29M","1.41%"
"Jul 07, 2020","27.57","27.83","27.92","27.56","5.45M","-2.20%"
"Jul 06, 2020","28.19","28.18","28.25","27.99","3.99M","2.25%"
"Jul 05, 2020","27.57","27.57","27.57","27.57","-","0.00%"
"Jul 04, 2020","27.57","27.57","27.57","27.57","-","0.00%"
"Jul 02, 2020","27.57","27.69","27.87","27.52","3.26M","1.77%"
"Jul 01, 2020","27.09","26.95","27.20","26.95","4.47M","-0.07%"
"Jun 30, 2020","27.11","26.84","27.24","26.81","5.99M","0.41%"
"Jun 29, 2020","27.00","26.79","27.02","26.64","4.56M","1.62%"
"Jun 26, 2020","26.57","26.97","26.98","26.49","4.90M","-1.99%"
"Jun 25, 2020","27.11","26.70","27.14","26.56","4.90M","1.38%"
"Jun 24, 2020","26.74","27.15","27.20","26.55","4.65M","-2.80%"
"Jun 23, 2020","27.51","27.78","27.84","27.48","4.12M","1.14%"
"Jun 22, 2020","27.20","26.95","27.23","26.85","4.84M","1.68%"
"Jun 19, 2020","26.75","27.34","27.34","26.72","4.24M","-0.85%"
"Jun 18, 2020","26.98","26.92","27.12","26.85","3.98M","-0.63%"
"Jun 17, 2020","27.15","27.26","27.32","27.05","6.17M","0.11%"
"Jun 16, 2020","27.12","27.29","27.39","26.77","5.10M","1.08%"
"Jun 15, 2020","26.83","26.08","26.89","25.99","4.95M","0.04%"
"Jun 12, 2020","26.82","27.11","27.21","26.38","8.71M","1.48%"
"Jun 11, 2020","26.43","27.30","27.45","26.35","8.42M","-5.98%"
"Jun 10, 2020","28.11","28.32","28.43","28.00","3.98M","-0.46%"
"Jun 09, 2020","28.24","28.09","28.43","28.07","5.42M","-2.05%"
"Jun 08, 2020","28.83","28.59","28.83","28.38","6.01M","1.37%"
"Jun 07, 2020","28.44","28.44","28.44","28.44","-","0.00%"
"Jun 05, 2020","28.44","28.54","28.68","28.38","13.73M","1.90%"
"Jun 04, 2020","27.91","27.68","28.07","27.65","6.33M","-0.04%"
"Jun 03, 2020","27.92","27.45","28.04","27.41","7.44M","4.06%"
"Jun 02, 2020","26.83","26.67","26.86","26.60","7.56M","1.25%"
"Jun 01, 2020","26.50","26.09","26.52","26.03","9.31M","2.75%"
"May 29, 2020","25.79","25.82","25.88","25.49","9.00M","0.19%"
"May 28, 2020","25.74","25.84","26.09","25.74","6.48M","0.08%"
"May 27, 2020","25.72","25.64","25.76","25.37","7.92M","2.31%"
"May 26, 2020","25.14","25.24","25.32","25.11","4.89M","3.76%"
"May 22, 2020","24.23","24.16","24.23","24.02","2.59M","0.33%"
"May 21, 2020","24.15","24.39","24.48","24.07","4.34M","-1.35%"
"May 20, 2020","24.48","24.36","24.57","24.29","7.32M","2.81%"
"May 19, 2020","23.81","23.97","24.14","23.80","5.00M","-1.00%"
"May 18, 2020","24.05","23.52","24.16","23.50","7.56M","5.95%"
"May 15, 2020","22.70","22.60","22.72","22.49","4.99M","0.75%"
"May 14, 2020","22.53","22.14","22.53","21.93","7.65M","-0.92%"
"May 13, 2020","22.74","23.06","23.08","22.56","7.19M","-1.39%"
